;occupancy;co2;noise;humidity;temperature;room
2019-11-20 07:00:00+00:00;0;476,2944438;50,61999957;36,05344454;21,03611088;1
2019-11-20 07:30:00+00:00;0;476,2944438;51,39409955;35,61402893;21,17612616;1
2019-11-20 08:00:00+00:00;0;476,2944438;50,84487089;35,44996516;21,34941451;1
2019-11-20 08:30:00+00:00;0;476,2944438;51,9485054;35,44062614;21,49796931;1
2019-11-20 09:00:00+00:00;1;504,3021037;53,75241343;36,00690015;21,80660502;1
2019-11-20 09:30:00+00:00;1;532,2363078;53,58047676;37,22573853;21,65512689;1
2019-11-20 10:00:00+00:00;0;543,4021098;49,96545919;36,29619916;21,61159929;1
2019-11-20 10:30:00+00:00;1;627,1547953;51,0361112;35,87522316;21,85844453;1
2019-11-20 11:00:00+00:00;1;734,4182638;53,33385022;35,81825829;22,0455691;1
2019-11-20 11:30:00+00:00;0;596,1934814;53,78833389;36,1509997;22,16200002;1
2019-11-20 12:00:00+00:00;0;565,0111186;54,35917091;36,88289261;22,3560044;1
2019-11-20 12:30:00+00:00;0;564,4295044;49,83667437;37,18155861;22,01238314;1
2019-11-20 13:00:00+00:00;0;586,0555522;51,63222186;37,20577749;21,98544407;1
2019-11-20 13:30:00+00:00;1;707,1631571;51,49272029;37,14633179;22,0974919;1
2019-11-20 14:00:00+00:00;1;625,9144999;53,36643728;37,12737974;22,1481301;1
2019-11-20 14:30:00+00:00;1;611,8111165;56,45080439;38,61761665;22,10709349;1
2019-11-20 15:00:00+00:00;1;623,7021077;54,88950284;39,15995916;21,79153093;1
2019-11-20 15:30:00+00:00;1;629,0185852;51,28730011;38,20295525;21,57945442;1
2019-11-20 16:00:00+00:00;1;770,0367737;51,28730011;38,20295525;21,57945442;1
2019-11-20 16:30:00+00:00;0;789,7450256;51,28730011;38,20295525;21,57945442;1
2019-11-20 17:00:00+00:00;0;644,927002;51,28730011;38,20295525;21,57945442;1
2019-11-20 17:30:00+00:00;0;644,927002;51,28730011;38,20295525;21,57945442;1
2019-11-20 18:00:00+00:00;0;644,927002;51,28730011;38,20295525;21,57945442;1
2019-11-20 18:30:00+00:00;0;644,927002;51,28730011;38,20295525;21,57945442;1
2019-11-20 19:00:00+00:00;0;644,927002;51,28730011;38,20295525;21,57945442;1
2019-11-20 19:30:00+00:00;0;644,927002;51,28730011;38,20295525;21,57945442;1
2019-11-20 20:00:00+00:00;0;644,927002;51,28730011;38,20295525;21,57945442;1
2019-11-20 20:30:00+00:00;0;644,927002;51,28730011;38,20295525;21,57945442;1
2019-11-20 21:00:00+00:00;0;644,927002;51,28730011;38,20295525;21,57945442;1
2019-11-20 21:30:00+00:00;0;644,927002;51,28730011;38,20295525;21,57945442;1
2019-11-20 22:00:00+00:00;0;644,927002;51,28730011;38,20295525;21,57945442;1
2019-11-20 22:30:00+00:00;0;644,927002;47,64999898;37,817173;21,38318221;1
2019-11-20 23:00:00+00:00;0;644,927002;47,63344828;38,00732358;21,3770841;1
2019-11-20 23:30:00+00:00;0;644,927002;47,61444473;38,3088328;21,32061068;1
2019-11-21 00:00:00+00:00;0;444,227595;47,1485246;38,64059639;21,2318449;1
2019-11-21 00:30:00+00:00;0;445,1626383;47,13793119;38,84855398;21,19413598;1
2019-11-21 01:00:00+00:00;0;446,6777751;47,16888873;39,05322266;21,12650013;1
2019-11-21 01:30:00+00:00;0;438,4505768;47,15298843;39,17830785;21,08246168;1
2019-11-21 02:00:00+00:00;0;433,9526876;47,17166583;39,29833349;21,06316694;1
2019-11-21 02:30:00+00:00;0;434,9833272;47,15852483;39,37731679;21,05312252;1
2019-11-21 03:00:00+00:00;0;435,341568;47,11641757;39,48351161;21,01470502;1
2019-11-21 03:30:00+00:00;0;432,0166728;47,05226008;39,53097916;21,00683562;1
2019-11-21 04:00:00+00:00;0;429,2800751;47,02452087;39,59678205;20,98980236;1
2019-11-21 04:30:00+00:00;0;430,3448283;47,02000046;39,67394447;20,96905581;1
2019-11-21 05:00:00+00:00;0;427,4105377;47,79111163;39,70579974;20,96727753;1
2019-11-21 05:30:00+00:00;0;428,6254781;48,68726095;39,01146189;21,00569916;1
2019-11-21 06:00:00+00:00;1;426,1611176;51,01162847;36,29301643;21,28258673;1
2019-11-21 06:30:00+00:00;0;421,5933329;49,8693676;34,90481059;21,44192346;1
2019-11-21 07:00:00+00:00;0;423,3871613;50,73984655;34,18539619;21,49332968;1
2019-11-21 07:30:00+00:00;0;412,3321838;49,8305556;33,91844432;21,56066672;1
2019-11-21 08:00:00+00:00;0;417,205363;50,18852488;33,87224452;21,56506125;1
2019-11-21 08:30:00+00:00;0;414,5166728;51,06166712;33,99205589;21,63377762;1
2019-11-21 09:00:00+00:00;1;418,7777761;50,37524923;34,15358988;21,71693675;1
2019-11-21 09:30:00+00:00;1;436,052302;49,42555555;34,71294467;21,73099995;1
2019-11-21 10:00:00+00:00;1;458,6222178;53,46247164;35,32579041;22,01340993;1
2019-11-21 10:30:00+00:00;1;500,8522898;59,4451917;37,38074684;22,83370145;1
2019-11-21 11:00:00+00:00;1;568,227773;56,54333369;37,64511045;23,04322211;1
2019-11-21 11:30:00+00:00;1;667,0716451;54,0040226;34,75696119;22,67436186;1
2019-11-21 12:00:00+00:00;1;1054,511668;54,76287333;36,36194483;23,13106314;1
2019-11-21 12:30:00+00:00;1;1150,911112;53,02013461;35,13379097;23,04695225;1
2019-11-21 13:00:00+00:00;0;688,5741475;50,80500031;34,07066663;22,57772223;1
2019-11-21 13:30:00+00:00;0;892,1490377;51,34670512;34,26832962;22,35598087;1
2019-11-21 14:00:00+00:00;1;814,6026917;52,79013316;35,07068825;21,99471633;1
2019-11-21 14:30:00+00:00;0;546,4000142;50,31055578;35,37405586;21,79061095;1
2019-11-21 15:00:00+00:00;0;497,4205017;49,83283488;34,89701653;21,87898668;1
2019-11-21 15:30:00+00:00;0;529,572993;49,06111081;34,63150088;21,95377763;1
2019-11-21 16:00:00+00:00;0;537,5;49,93954086;34,43169848;21,9607563;1
2019-11-21 16:30:00+00:00;0;493,2446391;50,65651385;34,10269165;21,94153055;1
2019-11-21 17:00:00+00:00;0;481,9055583;49,99777794;34,20994441;21,80161126;1
2019-11-21 17:30:00+00:00;0;482,9206899;48,7522405;34,1920255;21,70182006;1
2019-11-21 18:00:00+00:00;0;482,4093933;48,79555511;34,02627818;21,7676665;1
2019-11-21 18:30:00+00:00;0;479,9388936;48,76954015;34,20513598;21,61892128;1
2019-11-21 19:00:00+00:00;0;456,8496195;48,91697311;34,79366366;21,35527579;1
2019-11-21 19:30:00+00:00;0;454,3833364;48,38777733;35,45822207;21,39749972;1
2019-11-21 20:00:00+00:00;0;454,5450185;48,50986608;35,77843539;21,36837769;1
2019-11-21 20:30:00+00:00;0;449,0256704;47,875;35,9353892;21,33372243;1
2019-11-21 21:00:00+00:00;0;457,9055634;47,28950246;36,41463598;21,3625536;1
2019-11-21 21:30:00+00:00;0;457,907664;47,1355559;36,76561038;21,37783273;1
2019-11-21 22:00:00+00:00;0;454,3444468;47,47590065;37,03648631;21,32835642;1
2019-11-21 22:30:00+00:00;0;462,6065165;47,49390793;37,304245;21,28071276;1
2019-11-21 23:00:00+00:00;0;447,8777771;47,51000023;37,57999992;21,24327755;1
2019-11-21 23:30:00+00:00;0;450,905365;47,47601509;37,82078552;21,2035745;1
2019-11-22 00:00:00+00:00;0;454,5176239;47,5022227;38,081611;21,14022223;1
2019-11-22 00:30:00+00:00;0;453,922226;47,49722226;38,26530266;21,11722056;1
2019-11-22 01:00:00+00:00;0;450,2672373;47,4446551;38,39895821;21,09194469;1
2019-11-22 01:30:00+00:00;0;447,2777761;47,3856322;38,54402097;21,06780275;1
2019-11-22 02:00:00+00:00;0;450,8501943;47,38605372;38,65185992;21,05112648;1
2019-11-22 02:30:00+00:00;0;447,497701;47,36081696;38,7828331;21,02866968;1
2019-11-22 03:00:00+00:00;0;443,4628347;47,36212667;38,92340787;21,00627772;1
2019-11-22 03:30:00+00:00;0;441,6896566;47,38666662;39,13422139;20,94655577;1
2019-11-22 04:00:00+00:00;0;440,6359456;47,39388911;39,32825089;20,89722411;1
2019-11-22 04:30:00+00:00;0;440,0331421;47,20948156;39,50532405;20,85160351;1
2019-11-22 05:00:00+00:00;0;438,0833333;47,04333369;39,60011101;20,84722233;1
2019-11-22 05:30:00+00:00;0;434,3651326;49,23042107;38,98361905;20,98183918;1
2019-11-22 06:00:00+00:00;0;430,9350535;50,27222125;37,944472;21,26063919;1
2019-11-22 06:30:00+00:00;0;432,1055603;50,06024869;37,64932696;21,38763428;1
2019-11-22 07:00:00+00:00;0;431,1296895;50,28720284;37,53696187;21,45899041;1
2019-11-22 07:30:00+00:00;0;429,024999;50,13055547;37,77461052;21,48883279;1
2019-11-22 08:00:00+00:00;1;425,8850555;51,42683856;38,95431391;21,55136967;1
2019-11-22 08:30:00+00:00;1;432,4994202;53,8461113;40,14755567;21,65866693;1
2019-11-22 09:00:00+00:00;1;442,0055542;57,2593104;41,10876147;21,53464349;1
2019-11-22 09:30:00+00:00;1;487,8657074;59,16333326;41,94688861;21,64455509;1
2019-11-22 10:00:00+00:00;1;590,7222188;52,01996168;41,72776413;21,59843667;1
2019-11-22 10:30:00+00:00;1;666,179128;51,43887011;41,13179652;21,81197898;1
2019-11-22 11:00:00+00:00;1;761,9444478;52,68333244;40,7647775;21,95594438;1
2019-11-22 11:30:00+00:00;1;666,5833435;52,34258715;40,0354201;22,02759965;1
2019-11-22 12:00:00+00:00;1;563,2706909;58,07515208;39,88325246;22,16142464;1
2019-11-22 12:30:00+00:00;1;572,077769;58,07515208;39,88325246;22,16142464;1
2019-11-22 13:00:00+00:00;0;545,0241394;58,07515208;39,88325246;22,16142464;1
2019-11-22 13:30:00+00:00;1;572,1070557;58,07515208;39,88325246;22,16142464;1
2019-11-22 14:00:00+00:00;0;572,1070557;58,07515208;39,88325246;22,16142464;1
2019-11-22 14:30:00+00:00;1;572,1070557;58,07515208;39,88325246;22,16142464;1
2019-11-22 15:00:00+00:00;0;572,1070557;58,07515208;39,88325246;22,16142464;1
2019-11-22 15:30:00+00:00;0;572,1070557;58,07515208;39,88325246;22,16142464;1
2019-11-22 16:00:00+00:00;0;572,1070557;58,07515208;39,88325246;22,16142464;1
2019-11-22 16:30:00+00:00;0;572,1070557;62,88950348;38,7799511;22,03709443;1
2019-11-22 17:00:00+00:00;0;572,1070557;60,28999964;38,71122233;22,0606664;1
2019-11-22 17:30:00+00:00;0;572,1070557;56,24162865;38,73767598;22,0771745;1
2019-11-22 18:00:00+00:00;0;501,953186;55,68888919;38,77999942;21,99766699;1
2019-11-22 18:30:00+00:00;0;512,4333242;52,94308408;39,33218575;21,62211514;1
2019-11-22 19:00:00+00:00;0;522,1248983;47,93270048;39,57604027;21,54475848;1
2019-11-22 19:30:00+00:00;0;503,4833323;47,2994442;39,97505506;21,53394445;1
2019-11-22 20:00:00+00:00;0;476,2980855;47,3097318;40,27875455;21,47279294;1
2019-11-22 20:30:00+00:00;0;463,6622569;47,41611099;40,52033297;21,42966652;1
2019-11-22 21:00:00+00:00;0;454,6666667;47,4064935;40,52613449;21,43012396;1
2019-11-22 21:30:00+00:00;0;452,214564;47,2815005;40,42991066;21,42363326;1
2019-11-22 22:00:00+00:00;0;449,0777791;47,17926661;40,48308182;21,4052941;1
2019-11-22 22:30:00+00:00;0;448,0787354;47,18044027;40,6614577;21,38414955;1
2019-11-22 23:00:00+00:00;0;447,6762899;47,27227656;40,80401484;21,34181404;1
2019-11-22 23:30:00+00:00;0;439,5191294;47,38472176;40,89405251;21,32244428;1
2019-11-25 00:00:00+00:00;0;461,2187805;47,84888903;42,81905556;21,09144433;1
2019-11-25 00:30:00+00:00;0;459,2777812;47,87704913;42,77238528;21,12624709;1
2019-11-25 01:00:00+00:00;0;459,6480865;47,88503838;42,85039202;21,10813395;1
2019-11-25 01:30:00+00:00;0;463,3222198;47,90777842;42,97483381;21,06461112;1
