;R2;MSE;window_size;batch_size;number_of_nodes_MLP
1;0.7101480198834471;0.2303886359446503;32;32;64
0;0.7097453764098847;0.23642536414824245;32;32;32
5;0.7107323797163135;0.23814494306277723;32;64;128
6;0.712068911262615;0.23998298079900693;32;128;32
4;0.7119151880284269;0.241296187356158;32;64;64
7;0.7131018274558518;0.2434817834121804;32;128;64
8;0.712337164286368;0.2441413804457685;32;128;128
2;0.710531825077034;0.24466388960320262;32;32;128
3;0.712463678000216;0.24603334706313884;32;64;32
9;0.6525229067622491;0.26455450690174376;64;32;32
11;0.6522064316722582;0.2689321626264768;64;32;128
12;0.6512267502523819;0.2702221909664657;64;64;32
14;0.6498527716465716;0.27325934945984853;64;64;128
13;0.6466794859013467;0.2802526500722552;64;64;64
10;0.6564179557449413;0.28389163360574854;64;32;64
