;R2;MSE;window_size;batch_size;number_of_nodes_MLP
13;0.272387370705776;[0.6543561838482911, 0.5081300735473633];64;64;64
14;0.27276552707381785;[0.6548350174921863, 0.5039682388305664];64;64;128
11;0.273133033099869;[0.65578790491482, 0.5];64;32;128
12;0.2644804153373135;[0.6566047297108848, 0.5150214433670044];64;64;32
9;0.26883792832072373;[0.6567844032341579, 0.5100401639938354];64;32;32
10;0.257883233787888;[0.6579938236497483, 0.5181818008422852];64;32;64
0;0.23254587318845976;[0.710931333417664, 0.48728814721107483];32;32;32
2;0.23561817648851313;[0.7109331411872796, 0.4838709533214569];32;32;128
1;0.2390512624164236;[0.7110904369525567, 0.46441948413848877];32;32;64
5;0.23924344362174954;[0.7112451590106873, 0.4728682041168213];32;64;128
3;0.2434616548470908;[0.7120592360368032, 0.45035460591316223];32;64;32
4;0.2425185312765218;[0.7121465172239406, 0.4562043845653534];32;64;64
8;0.24202182551633977;[0.7132775953072987, 0.46014493703842163];32;128;128
7;0.24227356049363846;[0.7135681235147807, 0.4532374143600464];32;128;64
6;0.24071419995881582;[0.7142825938627392, 0.45035460591316223];32;128;32
